2025-06-24 22:17:52 [INFO] 🚀 CryptoBot started. Paper trading on Kraken.
2025-06-24 22:17:58 [DEBUG] RSI: 36.66 | EMA9: 144426.63 | EMA21: 144476.97 | MACD: -64.0476 | Signal: -74.2187 | Price: 144392.80 | ATR: 34.63 | Volume: 0.00/0.01
2025-06-24 22:18:07 [DEBUG] RSI: 41.75 | EMA9: 144427.16 | EMA21: 144472.64 | MACD: -59.8772 | Signal: -71.4287 | Price: 144429.30 | ATR: 34.75 | Volume: 0.00/0.01
2025-06-24 22:18:16 [DEBUG] RSI: 47.15 | EMA9: 144436.19 | EMA21: 144472.61 | MACD: -52.4293 | Signal: -67.6089 | Price: 144472.30 | ATR: 35.91 | Volume: 0.02/0.01
2025-06-24 22:18:25 [DEBUG] RSI: 47.15 | EMA9: 144443.41 | EMA21: 144472.58 | MACD: -46.0099 | Signal: -63.2891 | Price: 144472.30 | ATR: 33.35 | Volume: 0.00/0.00
2025-06-24 22:18:34 [DEBUG] RSI: 47.15 | EMA9: 144449.19 | EMA21: 144472.56 | MACD: -40.4561 | Signal: -58.7225 | Price: 144472.30 | ATR: 30.98 | Volume: 0.00/0.00
2025-06-24 22:18:43 [DEBUG] RSI: 52.25 | EMA9: 144461.71 | EMA21: 144476.11 | MACD: -32.4034 | Signal: -53.3451 | Price: 144511.80 | ATR: 34.19 | Volume: 0.00/0.00
2025-06-24 22:18:52 [DEBUG] RSI: 70.77 | EMA9: 144520.03 | EMA21: 144501.31 | MACD: -6.5643 | Signal: -44.0252 | Price: 144753.30 | ATR: 48.97 | Volume: 0.00/0.00
2025-06-24 22:19:01 [DEBUG] RSI: 70.77 | EMA9: 144566.68 | EMA21: 144524.22 | MACD: 13.7790 | Signal: -32.4644 | Price: 144753.30 | ATR: 45.48 | Volume: 0.00/0.00
2025-06-24 22:19:10 [DEBUG] RSI: 49.38 | EMA9: 144557.51 | EMA21: 144523.91 | MACD: 11.0134 | Signal: -23.7688 | Price: 144520.80 | ATR: 58.84 | Volume: 0.00/0.00
2025-06-24 22:19:19 [DEBUG] RSI: 47.94 | EMA9: 144545.85 | EMA21: 144521.66 | MACD: 7.0383 | Signal: -17.5563 | Price: 144499.20 | ATR: 56.17 | Volume: 0.00/0.00
2025-06-24 22:19:28 [DEBUG] RSI: 47.94 | EMA9: 144536.52 | EMA21: 144519.62 | MACD: 3.7831 | Signal: -13.3222 | Price: 144499.20 | ATR: 52.16 | Volume: 0.00/0.00
2025-06-24 22:19:37 [DEBUG] RSI: 49.51 | EMA9: 144533.01 | EMA21: 144519.57 | MACD: 2.7810 | Signal: -10.1150 | Price: 144519.00 | ATR: 50.69 | Volume: 0.00/0.00
2025-06-24 22:19:46 [DEBUG] RSI: 46.65 | EMA9: 144522.77 | EMA21: 144516.14 | MACD: -1.0246 | Signal: -8.3353 | Price: 144481.80 | ATR: 49.89 | Volume: 0.02/0.00
2025-06-24 22:19:55 [DEBUG] RSI: 51.96 | EMA9: 144527.80 | EMA21: 144519.02 | MACD: 1.3285 | Signal: -6.3714 | Price: 144547.90 | ATR: 51.05 | Volume: 0.00/0.00
2025-06-24 22:20:04 [DEBUG] RSI: 51.96 | EMA9: 144531.82 | EMA21: 144521.65 | MACD: 3.1362 | Signal: -4.4699 | Price: 144547.90 | ATR: 47.40 | Volume: 0.00/0.00
2025-06-24 22:20:13 [DEBUG] RSI: 45.68 | EMA9: 144519.27 | EMA21: 144516.87 | MACD: -1.7693 | Signal: -3.9298 | Price: 144469.10 | ATR: 49.65 | Volume: 0.00/0.00
2025-06-24 22:20:22 [DEBUG] RSI: 45.68 | EMA9: 144509.24 | EMA21: 144512.53 | MACD: -5.5925 | Signal: -4.2623 | Price: 144469.10 | ATR: 46.11 | Volume: 0.00/0.00
2025-06-24 22:20:31 [DEBUG] RSI: 45.68 | EMA9: 144501.21 | EMA21: 144508.58 | MACD: -8.5241 | Signal: -5.1147 | Price: 144469.10 | ATR: 42.82 | Volume: 0.00/0.00
2025-06-24 22:20:40 [DEBUG] RSI: 58.06 | EMA9: 144525.63 | EMA21: 144519.02 | MACD: 1.5032 | Signal: -3.8849 | Price: 144623.30 | ATR: 50.76 | Volume: 0.00/0.00
2025-06-24 22:20:49 [DEBUG] RSI: 58.06 | EMA9: 144545.16 | EMA21: 144528.50 | MACD: 9.4047 | Signal: -1.2270 | Price: 144623.30 | ATR: 47.13 | Volume: 0.00/0.00
2025-06-24 22:20:58 [DEBUG] RSI: 58.06 | EMA9: 144560.79 | EMA21: 144537.12 | MACD: 15.4881 | Signal: 2.1160 | Price: 144623.30 | ATR: 43.77 | Volume: 0.00/0.00
2025-06-24 22:21:07 [DEBUG] RSI: 50.73 | EMA9: 144557.65 | EMA21: 144537.84 | MACD: 13.8529 | Signal: 4.4802 | Price: 144545.10 | ATR: 46.23 | Volume: 0.00/0.00
2025-06-24 22:21:16 [DEBUG] RSI: 50.73 | EMA9: 144555.14 | EMA21: 144538.50 | MACD: 12.3895 | Signal: 6.0452 | Price: 144545.10 | ATR: 42.93 | Volume: 0.00/0.00
2025-06-24 22:21:25 [DEBUG] RSI: 48.46 | EMA9: 144548.15 | EMA21: 144536.85 | MACD: 9.0830 | Signal: 6.5974 | Price: 144520.20 | ATR: 44.26 | Volume: 0.01/0.00
2025-06-24 22:21:34 [DEBUG] RSI: 50.75 | EMA9: 144547.38 | EMA21: 144537.52 | MACD: 8.3483 | Signal: 6.9476 | Price: 144544.30 | ATR: 44.73 | Volume: 0.02/0.00
2025-06-24 22:21:43 [DEBUG] RSI: 50.75 | EMA9: 144546.77 | EMA21: 144538.14 | MACD: 7.6776 | Signal: 7.0936 | Price: 144544.30 | ATR: 41.54 | Volume: 0.00/0.00
2025-06-24 22:21:52 [DEBUG] RSI: 53.42 | EMA9: 144551.63 | EMA21: 144541.14 | MACD: 9.2025 | Signal: 7.5153 | Price: 144571.10 | ATR: 40.49 | Volume: 0.00/0.00
